Entropy,bulk Modulus,shear Modulus,Valence,Melting Point,Hardness
11.52634447,132.5,87,4.25,1598.75,116
13.38167152,121.2,74.8,4,1411,484
13.38167152,128.8,85,4.2,1528.2,144
14.89490334,133.654,78.731,4.338,1596.297,650
14.30463142,129.9,83.619,4.25,1554.788,151
14.76144549,121.364,79.258,4.102,1442.062,180
14.83567624,116.284,72.681,3.96,1345.587,171
9.081880574,128.836,57.673,3.567,1155.419,472
12.29739375,112.256,86.03,4.25,1589.138,549
12.04211319,119.316,95.042,4.566,1766.49,622
12.23873953,129.376,96.993,4.706,1837.56,854
13.38167152,131.2,85,4.4,1636.6,905
13.34682354,132.44,80.846,3.894,1516.921,286
10.66848445,113.354,58.326,3.466,1169.207,180
12.86480347,128.584,74.345,3.736,1418.887,210
14.54246388,134.6408,48.051,4.331,1915.264,591
12.47957714,127.9073,39.255,4.191,1846.799,407
14.48129945,132.3406,41.34,4.319,2111.912,499
12.58597619,133.088,43.104,4.354,2086.703,489
13.39308253,131.1802,42.117,4.352,2037.318,499
13.88649995,129.6279,41.739,4.286,1961.195,530
12.6328076,164.514,62.661,4.922,2112.095,591
13.01871914,162.168,62.382,4.861,2059.651,487
13.28034619,155.562,58.913,4.732,1968.509,517
13.29774879,156.176,60.26,4.725,1948.673,537
13.38167152,128.22,38.4,4.4,2028.6,387
13.38167152,136.22,42.8,4.4,2250,335
13.34197586,163.709,62.54,4.86,2450.1,395
14.69277182,144.6602,50.288,4.544,2283.57,480
14.85466649,148.4114,53.616,4.608,2298.49,492
14.89755083,151.9526,56.703,4.668,2313.268,505
13.38167152,184,81.2,4.4,1804.2,625
12.61903866,175.287,72.8504,4.0969,1655.1121,267
12.84341485,176.909,74.5562,4.1226,1667.0024,402
13.31283881,181.674,78.6881,4.3771,1793.3933,557
13.3242778,184.843,81.7765,4.4801,1845.0345,606
13.34697751,185.639,82.7776,4.47,1842.3258,602
13.21553995,188.087,84.7827,4.5912,1894.5254,538
12.91191806,191.944,88.5884,4.7069,1950.3743,520
12.93560251,191.972,88.6936,4.6941,1945.0799,510
12.80990145,193.156,89.8377,4.7324,1963.7252,382
14.4663129,202.12,90.722,5.445,2659.532,675.5
14.3433239,205.14,92.398,5.46,2699.962,704.6
14.80257179,181.33,95.079,5.522,2610.408,754.9
11.52634447,227.5,98.5,5.5,2884.75,454.3
13.38167152,214,88.2,5.4,2689.8,535.3
14.89745125,196.82,80.926,5.168,2520.086,504.2
13.38167152,174,64.8,5,2339,443
13.38167152,96.22,52,4.6,2028,463.99
11.52634447,132.5,87,4.25,1598.75,123
13.38167152,146.22,53.2,4.2,1790,527
14.89750074,140.1037,49.28,4.167,1864.651,520
11.52634447,190,70,5.25,2506.75,504
11.52634447,210,78.75,5.25,2706.5,317
13.38167152,190,71.8,5,2498.8,446
11.52634447,132.775,40.5,4.5,1977.5,335
11.79398241,229,97,5.4,2934.4,702.55
12.51156218,226,93.9,5.4,2880.4,983.91
12.51156218,223,90.8,5.4,2826.4,684.2
12.51156218,212,81.6,5.3,2785.9,459.8
11.79398241,220,87.7,5.4,2772.4,693.3
12.51156218,232,102.7,5.5,2895,809.6
12.22903708,221,93.5,5.4,2854.5,690.3
12.94661685,229,99.6,5.5,2841,831
12.94661685,218,90.4,5.4,2800.5,596.5
12.22903708,207,81.2,5.3,2760,321.1
12.51156218,226,96.5,5.5,2787,813.7
12.94661685,215,87.3,5.4,2746.5,565.9
12.51156218,204,78.1,5.3,2706,363
12.99088701,232,91.1,5.9,2994.2,664.8
12.22903708,201,75,5.3,2652,363.6
11.30137355,198,71.9,5.3,2598,467
