% of Cr,% of Hf,% of Mo,% of Nb,% of Ta,% of Ti,% of Re,% of V,% of W,% of Zr,% of Co,% of Ni,%Fe,% of Al,% of Mn,%Cu,%C,Entropy,bulk Modulus,shear Modulus,Hardness,Valence,Melting Point
25,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,11.52634447,132.5,87,116,4.25,1598.75
20,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,13.38167152,121.2,74.8,484,4,1411
20,0,0,0,0,0,0,0,0,0,20,20,20,0,20,0,0,13.38167152,128.8,85,144,4.2,1528.2
17,0,0,0,0,0,0,17,0,0,16.2,16.5,17.2,0,16.1,0,0,14.89490334,133.654,78.731,650,4.338,1596.297
20,0,0,0,0,0,0,4.6,0,0,19.3,19.5,19.6,0,17,0,0,14.30463142,129.9,83.619,151,4.25,1554.788
19,0,0,0,0,0,0,0,0,0,17.6,17.6,17.4,10.4,18,0,0,14.76144549,121.364,79.258,180,4.102,1442.062
16.4,0,0,0,0,0,0,0,0,0,15.4,15.5,15.5,21.3,15.9,0,0,14.83567624,116.284,72.681,171,3.96,1345.587
4.1,0,0,0,0,0,0,0,0,0,0,44.4,10.4,41.1,0,0,0,9.081880574,128.836,57.673,472,3.567,1155.419
29.4,0,7.6,0,0,0,0,0,0,0,0,14,34.4,14.6,0,0,0,12.29739375,112.256,86.03,549,4.25,1589.138
31.8,0,17.8,0,0,0,0,0,0,0,0,7.8,34,8.6,0,0,0,12.04211319,119.316,95.042,622,4.566,1766.49
28.1,0,26.7,0,0,0,0,0,0,0,0,6.2,28.9,10.1,0,0,0,12.23873953,129.376,96.993,854,4.706,1837.56
20,0,20,0,0,0,0,0,0,0,0,20,20,20,0,0,0,13.38167152,131.2,85,905,4.4,1636.6
21.6,0,0,0,0,0,0,0,0,0,20.6,20.5,20.8,0,0,16.5,0,13.34682354,132.44,80.846,286,3.894,1516.921
11.2,0,0,0,0,0,0,0,0,0,12.6,12.1,13.5,38.9,0,11.7,0,10.66848445,113.354,58.326,180,3.466,1169.207
18.2,0,0,0,0,0,0,0,0,0,17.7,19,18,9.4,0,17.7,0,12.86480347,128.584,74.345,210,3.736,1418.887
0,0,10.5,22.4,10.1,17.8,0,0,0,18.8,0,0,0,20.4,0,0,0,14.54246388,134.6408,48.051,591,4.331,1915.264
